Pathway	A57RS1T1	A57RS1T2C	A57RS1T2	A57RS2T1	A57RS2T2C	A57RS2T2	A57RS3T1	A57RS3T2C	A57RS3T2	HF12RS1T1	HF12RS1T2C	HF12RS1T2	HF12RS2T1	HF12RS2T2C	HF12RS2T2	HF12RS3T1	HF12RS3T2C	HF12RS3T2	HG64RS1T1	HG64RS1T2C	HG64RS1T2	HG64RS2T1	HG64RS2T2C	HG64RS2T2	HG64RS3T1	HG64RS3T2C	HG64RS3T2	HG70RS1T1	HG70RS1T2C	HG70RS1T2	HG70RS2T1	HG70RS2T2C	HG70RS2T2	HG70RS3T1	HG70RS3T2C	HG70RS3T2
ko00071: Fatty acid metabolism	1789.7283344675	1998.8866116629	4740.1456514592	2160.1146815831	2179.5310039113	4599.2961229572	1491.6614700944	1763.3578288384	4018.4403755098	1801.3743531661	1315.3057547790	4780.9136624453	1627.0794258607	1281.2102919317	4844.7583094850	1594.4381545390	1324.7329224039	6738.0409241523	2065.7491588292	1530.7417933476	3537.8862188440	1554.5752740382	1603.6084569899	4154.4601209569	3532.3868696372	1679.2728670219	2428.8131034564	1678.2856781887	1784.0600570870	2805.0077509004	1100.0296565306	1992.6114308557	3269.5527382780	1358.3043603625	1666.3666691946	3811.9391250686
ko00072: Synthesis and degradation of ketone bodies	4122.5278232016	4620.4798841847	7219.1404187203	5019.3693122365	5058.7151974911	7610.8938037907	3380.2147508352	4020.7759798417	6391.1053043871	3696.3770109062	3165.8635321642	7340.4756380281	3582.7158495169	2878.4759223970	7534.4462559799	3473.7439092023	3208.4394661214	9998.1176701788	4311.5344051172	3459.0454309328	5743.7112995877	3400.1028030535	3738.1858497078	7060.4444597620	7381.0117750998	3907.8653839449	4306.4120002701	3825.7554793726	4219.8448532055	4894.2463989892	2571.4107856934	4439.6652073124	5635.1149205656	3176.6539491061	3928.1354941403	6275.0810968754
ko00100: Steroid biosynthesis	23.4671231839	22.2593430129	144.1980392890	19.5476838302	28.5712727873	117.6183496487	17.7623337190	21.8818616281	111.8634603867	10.3534221796	11.1277917815	141.3646342690	15.9422571610	11.9669576343	142.0322748587	12.8079937722	11.1257578447	210.1358160419	11.2721283587	14.3546408459	93.9431461254	12.0786603377	17.0507495427	97.7580266338	26.6964447717	15.8651436497	52.2587241417	17.2191875225	20.2390793989	79.3782209198	9.9943029019	34.7678135237	90.5618910226	14.0566220290	19.7830493269	111.9420052035
ko00120: Primary bile acid biosynthesis	41.8480684127	32.6907864414	316.0781557870	52.1973674006	0	260.1822224748	31.1379723281	0	0	35.9454056721	29.7761870330	0	0	32.8571971500	0	36.3675083247	27.8255190771	0	51.2577689271	0	212.3798366372	38.4956819846	36.9308735150	231.8552843151	102.4166964603	33.8174039996	122.3021311137	40.4846583652	0	163.1189521180	0	0	0	32.7727283976	0	258.8948125982
ko00121: Secondary bile acid biosynthesis	25.8129783930	23.6905162072	11.8477379777	54.3256083125	45.4877602233	61.5420438467	22.6477123656	32.4184192562	36.7794382341	50.8742361350	14.5713446409	13.7856937706	29.5160445780	5.8765875339	19.5552265841	28.5508492710	10.6965803977	18.6701865351	69.0284129669	11.8159045757	6.1183158167	40.3397358120	23.6100947057	46.9644615794	295.9021816653	7.8953506517	15.6018336504	31.2478560182	16.1799346851	19.6850541608	11.7099145025	22.6635416022	9.8015080086	17.8125506772	28.5913097643	24.5330641527
ko00130: Ubiquinone and other terpenoid-quinone biosynthesis	633.6953993187	694.5079079625	2311.3825282181	744.6783730142	723.5222439993	2140.2246694360	528.1190785688	582.9760459875	1895.8460133338	724.4314115948	456.1469478257	2357.7578936071	558.4420220236	457.6377757014	2333.6953393924	551.2435388140	495.1437155076	3372.1577690870	709.9591018210	502.5372265164	1649.7266269987	554.1434468487	521.3652147033	1838.2429657423	1149.5877412232	603.6964499248	1041.3371137362	574.1331396953	620.3565201774	1292.7671565901	388.5425416572	753.2375581418	1529.9609222299	449.4393897808	550.3382983437	1864.1930461004
ko00140: Steroid hormone biosynthesis	40.0502289104	40.0824838987	178.2389942358	48.6822725738	39.8569339655	152.5958922743	46.3836036909	41.9927228497	148.6676578361	48.7968369031	30.5206001641	181.5722920928	51.1854692085	41.9384033232	180.8736691908	41.5743524021	29.6332294697	265.6834510543	47.7148082775	39.3944746417	128.3253049610	42.3550277743	37.7617601078	136.0012773186	88.5867139722	39.8811342345	80.3438721330	41.7725310667	47.6543921385	100.8565443797	26.8939169645	53.0841395568	116.4887698807	31.1211830450	36.8827810948	145.5580125794
ko00190: Oxidative phosphorylation	1221.1538665554	1242.7529173440	2187.3341519780	1393.6650165156	1336.4363602037	2235.6730555204	982.8014248057	1080.6064948869	1860.1234346882	1041.8400204069	884.4929204892	2204.4390679889	1000.7519738832	867.4550163036	2184.3002693913	995.8555697534	840.3819620702	2947.7404923919	1113.3802775680	962.1090663679	1704.4706514932	928.3968053365	967.4779133540	1973.6930150649	1794.4864466868	1094.4053679242	1243.6764597258	1031.4760837757	1150.0485007365	1418.7418677338	711.3414070718	1127.4934260703	1667.0631417436	829.0962468134	1009.0488504553	1831.9977392715
ko00195: Photosynthesis	830.4799819037	839.1297291885	1217.4002030550	929.4309797422	871.9827138912	1284.1010370006	634.1173159089	711.8409913725	1023.3671253138	735.0480792455	606.4731078974	1247.8988066410	679.1433492632	621.4234873377	1228.5529277160	712.1483509725	569.7755392264	1577.4142190597	758.7693631335	636.7161841071	971.3774585936	640.9516110143	652.8543934446	1171.5255082802	1179.5438494028	740.9333425736	763.2103176707	673.6884801009	763.8382418655	824.9169653034	499.4076552861	709.4527998018	973.3682653115	566.2150059126	663.6583507997	1039.5294348952
ko00196: Photosynthesis - antenna proteins	6.2671889299	4.2215671680	0.2030699940	1.0442139502	1.1879189325	0.8289902173	0.4832576058	0.9395297840	0.2994908655	1.1020797703	1.7527389259	0	1.4397524068	4.2477052602	0.5305643645	0	2.3258235316	0.3256242731	0.3974401930	0.5178911184	0.2027712058	0.9998784941	1.3981855247	0	20.0051275887	1.5181613651	0.5956103517	0.9459785695	3.6899286879	1.1081887840	1.8044317984	1.0495282040	2.0123711245	1.8559891037	0.6552755136	3.6513391762
ko00230: Purine metabolism	1139.7445186182	1187.0248928740	2075.1670982259	1291.9564876045	1289.1332836143	2161.2598967241	927.4478297142	1020.0382766785	1791.8618492577	1056.3845022456	834.7072181612	2091.5265926270	942.5029841671	800.4677351728	2100.8462785549	950.5169951778	795.0442362438	2831.7433793928	1102.4212494739	903.4254452290	1611.1849359081	904.8340111307	924.1126019283	1897.3987091272	1886.4014513425	1029.0151720257	1165.4902075267	974.3187594725	1075.6326625168	1337.5272026438	652.4241471265	1081.2006982140	1562.7609761573	787.9336381138	961.0359526643	1754.8274935073
ko00240: Pyrimidine metabolism	1432.1174613536	1466.9849379665	2204.5330274113	1631.2519946684	1570.2629491832	2352.6617552679	1138.5512709744	1252.3279276109	1935.9629218960	1278.7359684165	1044.6355673007	2225.8120434758	1177.7837410930	1007.6523382595	2234.0455724725	1198.4449774892	995.2696469705	2934.8302382663	1347.0832160158	1127.7116405025	1782.2439426096	1114.2745330070	1161.8155690087	2101.4463282685	2215.0239175308	1301.7564670273	1318.2600351080	1200.6299511363	1349.9999680015	1490.1395851105	825.3340396738	1275.9129924130	1731.7656507261	975.3188546250	1187.1475006390	1900.3596480612
ko00250: Alanine, aspartate and glutamate metabolism	2190.1167457038	2268.5708884369	3550.1989487586	2499.2204328259	2439.9460988565	3763.2211977214	1737.4618526903	1912.9586339729	3084.7311044586	1988.0389988442	1549.7369646039	3570.7188965581	1742.1267101127	1491.6455370179	3593.6980577135	1809.6953421597	1480.3429821994	4795.0544604203	2129.2898098043	1700.4965264801	2805.6247271177	1703.6125171201	1771.8618504637	3352.9879920370	3607.7651412253	1969.5222405172	2049.5032215114	1827.2652586684	2018.3865467670	2340.2104663580	1235.9215943727	1945.7765272820	2700.2212891149	1469.4664149749	1791.8351044739	3022.6684989945
ko00253: Tetracycline biosynthesis	1281.5850994553	1399.1366620915	2419.0684300468	1502.7455612080	1425.2760643629	2464.2776303794	0	1126.2881143872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1062.3009088363	0	0	0	0	1115.3629789389	1240.9755126828	0	0	1164.2717831334	0	0	1061.9843881622	0
ko00260: Glycine, serine and threonine metabolism	1534.9076874180	1658.2103760641	3724.5300437797	1805.8318683027	1813.3758894912	3619.9526217703	1252.5395196919	1401.7817743867	3133.3602278822	1511.3056043141	1085.1779750352	3726.3612180040	1286.2585227381	1046.0190623175	3767.0763571400	1257.6516460985	1069.3831534110	5264.3030718050	1579.4675648522	1197.8107020692	2744.2743135825	1245.4654206045	1280.8836776505	3199.7703970873	2761.5934185227	1411.3447664123	1846.8496954744	1335.8924031388	1458.7729997227	2213.2573826332	882.0690660521	1574.2496127588	2592.4114108524	1058.2354503121	1309.4325503121	3038.1738162712
ko00270: Cysteine and methionine metabolism	1407.6649153394	1470.1670099121	3215.7039269808	1597.8952994024	1587.4318826641	3123.3372858272	1133.5064605657	1231.5045860323	2704.6718996882	1327.4363378713	1001.8641927302	3242.5359641583	1161.8900349095	986.8706809102	3259.7979899739	1181.3582696260	948.9626487739	4537.8336022747	1401.5096013925	1084.9966642639	2428.8828914789	1105.2540508509	1128.7931118512	2798.8286951625	2315.3923705453	1290.2146309570	1651.6257399009	1199.6420441521	1304.4759707954	1941.6425434931	814.2711416635	1367.2055604512	2303.8910928966	948.5752171490	1164.3460441243	2658.1455460540
ko00280: Valine, leucine and isoleucine degradation	2716.9053713534	2900.3892711033	5203.9741850062	3247.2996358578	3165.4358351301	5307.9416377277	2231.1634129184	2594.2739731267	4521.4628837549	2466.7877323346	2037.4036728477	5304.8198218401	2397.3795434335	1963.4875922570	5390.1774140517	2359.4048830066	1990.9247312820	7215.0986313408	2829.1517253587	2302.3140262610	4118.4510550787	2273.8291189330	2381.9709994382	4844.1312577653	4663.4788958496	2520.1320917333	2980.1202989040	2450.0954325083	2712.5487665624	3343.5996137542	1655.6161436912	2743.0854487510	3919.2011873203	2023.9289128613	2483.9119332902	4361.8965320733
ko00281: Geraniol degradation	2064.6661998760	2323.7337316568	6239.5347325422	2482.7134489856	2515.9466723446	5879.8918741721	1785.8280925666	2080.1510845351	5186.5254999186	2295.1297275473	1562.1319764161	6251.7270426914	1967.7937005482	1531.4243701619	6401.3075305720	1927.7741249920	1574.5021560095	8929.5627370733	2495.8430979156	1826.9076334694	4615.2771227082	1838.6088956950	1896.9892999693	5384.5428812392	4094.3019644907	2040.0810628280	3133.9793624237	2023.1761352562	2126.1315307554	3537.7813742651	1304.2757678585	2417.0225468263	4197.7688358995	1630.9010463080	2012.4849773406	4946.5414747567
ko00290: Valine, leucine and isoleucine biosynthesis	3742.9318029153	3815.9258561035	5925.9196633424	4278.0865371537	4153.8834766011	6232.1132798056	2959.0035469125	3235.4331362354	5180.8714713799	3189.8471131282	2634.6466265077	5895.1940379496	2908.7035955035	2624.5646899031	5957.4368448053	2976.8978423537	2474.6562256771	7976.9912518500	3345.7641714692	2835.1083678440	4670.5574937272	2692.1960219069	2896.0136073530	5523.9247436274	5965.2607462373	3288.0976423809	3415.6455642037	3112.4085934476	3522.4638880009	3931.1018750066	2131.9502299384	3266.4619931947	4489.1427959232	2521.0372082405	3030.8437673398	5022.9312398813
ko00300: Lysine biosynthesis	1230.1993856787	1340.5912528702	3019.1022036491	1436.1299364618	1463.8827976473	2956.6857752252	970.6216026094	1107.2301854756	2517.6933822666	1264.7029482287	850.4911412035	2993.3048443038	956.2300259048	793.8321367520	3009.5194441058	1007.4327289704	857.7378501651	4251.9173781625	1320.2592870536	934.5189967261	2189.2253677808	977.7777523941	1010.6834587748	2633.8230995574	2259.4731800200	1142.7619215960	1475.6975124893	1061.5484703393	1134.6576564589	1761.8587821005	660.8069947106	1265.8552502478	2038.0945576823	812.8469068943	1017.5811442945	2431.2841045882
ko00310: Lysine degradation	1209.8622238088	1327.3818317452	2961.8732776985	1447.7901184491	1464.6187970036	2913.4703250276	992.1523020969	1171.6078983255	2521.7077567508	1208.8833075140	898.6295721253	2991.1164619467	1071.3388194900	852.2236842344	3035.1003555103	1072.8035176659	869.4211515792	4205.2922103325	1363.3794977471	1015.2504705366	2234.8962879743	1022.4938712539	1060.3127723370	2626.4899128161	2339.0961909982	1132.0199994120	1557.9044535767	1113.7058382728	1194.5251450614	1777.5299409589	730.3319248895	1302.4997602907	2079.8701677780	903.7019336404	1103.0959843845	2417.5126449105
ko00311: Penicillin and cephalosporin biosynthesis	104.1825600162	140.1790869760	1833.6679756862	141.5898606591	150.7902688183	1523.7582843765	81.3975586196	131.8469073143	1411.7591545512	176.2940897534	53.4268326574	1795.2095215479	84.9463668763	46.9178221945	1818.6726649848	76.4707948556	61.6995017106	2738.0270292590	176.8343191308	70.6838849166	1163.9013214510	91.3717113158	94.5150596484	1253.1180065234	278.2925008753	101.2144968005	618.8325872590	96.3247010022	93.3044220382	853.7661010546	41.4481347299	285.2474698582	1064.2868562873	75.2090446092	97.9995472893	1352.0872203904
ko00330: Arginine and proline metabolism	928.6413159839	983.7182355629	2254.4805536892	1056.8478714074	1078.7906413439	2206.0409181394	730.1894178849	818.1069088684	1895.1609511026	976.0971891923	651.8492673732	2246.7421997509	764.8349833850	632.2913265107	2263.3056318365	783.5609738143	602.9568499561	3186.1058208162	987.6781879606	722.6013495968	1678.1669377023	769.2318688934	752.9178602122	1944.4907155339	1673.4869226361	857.8329823625	1125.7985431838	790.1108024747	859.3946750427	1341.6177920600	521.3343500745	917.9434947687	1565.6406615108	631.2788496841	770.9588000736	1825.9436849992
ko00340: Histidine metabolism	1476.3442078277	1631.9625147327	3813.9103661025	1739.7140903779	1705.8433191988	3707.0280892380	1117.9379548505	1344.3643281961	3171.6824534582	1530.7531113960	998.4588713573	3746.2503849689	1227.6815861563	989.6819442951	3801.7228754371	1211.1274958337	1009.0087529223	5375.2071618125	1536.2749439259	1111.4846237215	2759.7459567533	1175.9195642434	1186.1172696551	3242.3851488839	2794.9848349040	1352.6272143373	1830.9528847984	1280.3126072350	1368.7093985150	2201.6125685267	842.7869538806	1522.2222623717	2539.7983814226	985.6308700419	1224.6694131552	3039.4163026380
ko00350: Tyrosine metabolism	631.3231502933	730.3948619685	3460.8693802237	766.6013139670	796.1895054773	3027.5642405317	516.6822964451	607.4488125368	2750.7800033524	613.7772769989	419.1590976907	3476.3304149564	543.7251913372	423.6599941350	3477.3435757306	503.8775248062	433.9281128158	5107.3250417826	644.1850207965	508.6264830288	2369.2648788570	510.3578473736	539.7686077623	2575.4736798415	1281.5625704026	569.1525656554	1415.7153727356	568.6784642363	606.6847877304	1809.1680214491	378.8065854844	879.4703534745	2159.4330382512	436.8162966842	556.5520906215	2705.6308484562
ko00360: Phenylalanine metabolism	549.1144841765	653.5412158942	2570.2297002022	672.0569763101	702.9111749481	2283.3881454879	455.7344066884	539.1878055631	2074.3421073269	632.7756035456	387.1160024390	2599.3572406741	500.3005393160	379.0390285472	2598.6647236746	464.4231330590	400.1391283063	3808.1967031074	633.0528585857	463.7431448883	1806.4700695426	487.0825479035	482.8632052761	2001.4071315097	1124.3171092790	541.2911493939	1097.4684027293	515.1212569865	549.3859063514	1403.9319759794	338.8061315500	741.0593469648	1638.6451306090	403.0753407281	516.0463558801	2048.4923312404
ko00361: Chlorocyclohexane and chlorobenzene degradation	239.8499572826	323.7055674203	1817.6126310126	275.1724722307	335.1024889706	1560.1985352470	227.3407917426	248.4715997130	1389.0262908491	277.2988296473	161.2679709386	1744.6477690115	247.7007911291	185.1990570512	1805.1626690253	223.6797784497	170.8648779215	2603.3278358946	295.8509340385	212.7710250930	1197.8657240638	211.2229123456	205.1896430268	1297.3862980898	653.0111612742	241.2560126854	695.8857865997	250.3024251509	259.4908363970	905.4170361078	161.2986135060	400.1480746303	1069.8622063228	189.8870182968	239.5649450038	1345.5496584365
ko00362: Benzoate degradation	901.1874487586	1046.5002095325	3628.2241177485	1068.0053908084	1127.4323752893	3296.6362698350	753.2349730718	902.8229578810	2957.4330937817	1000.9328181411	695.7316872260	3697.8112266585	824.4245408254	647.5132347326	3761.2380416080	828.9000007958	674.2594682006	5326.4006904243	1062.5483220972	801.4425447732	2608.3098395624	801.0438935824	815.6474445934	2934.9932787497	1811.4858059671	889.3249886389	1650.2565898898	870.0561826286	921.1948965282	1981.9361170848	570.1889746156	1146.5748687072	2346.0753101146	690.5301593525	857.8660279299	2886.5379795617
ko00363: Bisphenol degradation	396.8226356951	523.8173319210	5157.3604663583	486.2777395842	579.3293060729	4131.3898627525	439.6889514082	497.6053339143	3965.4190701643	494.1065657283	319.5420489732	5112.0384984102	486.0127912264	334.9386506596	5118.4505904890	378.0744811868	303.8010219786	7536.5309915111	454.6725933195	386.2533980943	3348.5199741679	373.6365901083	385.1409996355	3528.0972408514	917.3602088523	353.3419515166	1853.3905148268	471.9879329132	493.7939525414	2506.2242760629	302.9790648346	969.5404026556	3027.7351584864	368.5135687428	451.7464144221	3860.8060707062
ko00364: Fluorobenzoate degradation	210.3989464774	280.4960210360	1320.8384851179	246.0687361570	269.7775623040	1112.6732632007	195.5817360360	201.8588055145	992.8247172111	317.3150964375	151.6770049050	1246.1825149786	217.7500135077	169.5236904937	1307.3939058424	222.4517631659	150.0082975198	1833.8682226163	310.3414871148	196.2995994505	866.0003711161	222.6562644070	187.7019944330	961.2961287534	577.1640141413	226.5698358901	536.8553443820	202.2662720532	229.6817078064	681.5896613327	137.4164926420	312.3534537542	790.7655851214	163.5223171297	199.6467482990	970.5585412678
ko00380: Tryptophan metabolism	1192.7149706408	1304.0185587642	2944.3797917627	1413.7326712144	1431.8326379594	2907.7287695523	988.9776480100	1156.6094184279	2508.0889145764	1203.2126257749	876.4138978049	2971.0011531026	1067.6827948517	850.4712475577	3011.8610075957	1057.5767071003	844.6069756750	4192.6391839694	1325.0354814822	997.3013644027	2216.6161044913	1006.5062893847	1031.9683881740	2615.2544550091	2333.1226252623	1112.4109812853	1530.2068092280	1097.5459515176	1186.3058536318	1772.4556164876	729.9555283067	1277.0813832563	2066.6108914189	893.9115601932	1085.2254448642	2390.8610152106
ko00400: Phenylalanine, tyrosine and tryptophan biosynthesis	957.9931403445	1042.0953587096	2782.4484663539	1092.4459902973	1135.3073395224	2635.3566257554	741.5095261415	821.2728424875	2302.8422237574	1003.3073401442	647.1503620064	2768.1850918845	735.3186046843	614.2120398252	2794.3971714449	754.6777184306	640.9486643885	3968.7610599153	1011.6451396144	720.6809263905	1980.9944983714	744.9691598948	760.4801267735	2333.3612364884	1761.4519315707	891.6107273807	1289.5710882909	803.7160665236	860.0542534411	1585.3461266896	506.5544099452	1001.7595788871	1846.0452034260	620.6122348038	777.9997422136	2257.5642513628
ko00410: beta-Alanine metabolism	1385.1727513671	1569.8571296145	4523.3013076098	1674.0776910517	1707.9946791547	4284.4497211702	1196.7119222134	1409.9161654189	3756.1910341699	1487.8757999630	1001.9431900482	4506.9356718714	1282.6536083652	991.6231880957	4596.8201877726	1261.8596867687	1013.5035069220	6510.5739115559	1669.0443555458	1194.0642707585	3282.0884519636	1238.5617763497	1248.3620454499	3811.0275128083	3056.8586884461	1326.1630957083	2147.3055920229	1324.8747633932	1405.8652658119	2509.1063071496	855.3277223077	1639.8557109524	2999.4791321466	1062.8475611439	1316.5538042858	3562.7191587253
ko00430: Taurine and hypotaurine metabolism	593.1846412478	659.6005566687	1483.4289354173	725.9539825733	713.7441046215	1464.4377409023	534.8343342271	598.1927505101	1253.4884615863	650.7734288790	414.8787137780	1468.1044714079	563.6001407659	434.3346637480	1469.8362064037	540.4177861839	401.8863576773	2063.9314655534	694.0678139750	480.5397906626	1104.0798339405	572.4671799810	523.8759684397	1264.4212533562	1322.2546616790	553.7070421179	748.8121348161	566.9358373336	606.7957238383	908.2906754048	367.1151507206	655.0967371788	1025.6385510932	469.4838540205	551.6889359757	1210.3503971624
ko00440: Phosphonate and phosphinate metabolism	157.6721404527	181.9502902304	727.0324143402	178.6098566628	204.3174442714	683.8860096724	140.5525378792	152.2047686500	578.5294772634	210.4244113721	113.1103466481	727.1935101360	138.0822664329	106.6772429286	714.3069002804	142.1399202160	102.2623748738	1064.4654631062	200.2983134326	127.4911093360	484.1911915724	151.3866718396	125.9948189609	571.3832151852	340.6372348160	138.5345064179	309.9807341989	128.2707001479	142.3047160786	402.0616095058	79.3209735741	182.6590376191	457.5292186556	107.7430472072	130.7631982340	581.2241696247
ko00450: Selenocompound metabolism	2108.2716948103	2110.3168655360	4675.5373322404	2402.6265435976	2325.8926399843	4442.5058178553	1712.6931157246	1875.1732524609	3910.0118242775	1796.7034283551	1551.7527133262	4704.7083241380	1715.3202807469	1508.0582489688	4716.2907252078	1749.4417280496	1436.9252762931	6585.3907495533	1988.4127869749	1628.9351158575	3503.6866904996	1609.5765943717	1670.5302637302	3964.9948008053	3298.2407195105	1904.3762615467	2376.9504755694	1796.1860951951	1994.4782481770	2789.8939662052	1243.5931710580	1995.6106538280	3342.2704168518	1449.6301306259	1789.9327833376	3860.3427565171
